id,title,organization,institution_code,collection_code,catalog_number,occurrence_id,idigbio_uuid,idigbio_recordset_id,type,vouchered,taxonomy,sex,creator,date_uploaded,date_modified
000367535,nlm:virtual_human_2,National Library of Medicine,nlm,,virtual_human_2,male_head_72yo,,,Biological Specimen,No,Homo sapiens,Male,Dr. Peter Raitu,2021-06-11T17:58:23Z,2021-06-11T17:58:23Z
000367178,uw:8945,"Geological Museum, University of Wyoming",uw,,8945,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-08T22:43:13Z,2021-06-08T22:43:13Z
000367155,uw:8918,"Geological Museum, University of Wyoming",uw,,8918,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-08T19:43:58Z,2021-06-08T19:43:58Z
000367010,uw:8838,"Geological Museum, University of Wyoming",uw,,8838,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-08T07:25:45Z,2021-06-08T07:25:45Z
000366997,uw:8834,"Geological Museum, University of Wyoming",uw,,8834,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-08T06:56:41Z,2021-06-08T06:56:41Z
000366990,uw:8829,"Geological Museum, University of Wyoming",uw,,8829,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-08T06:47:03Z,2021-06-08T06:47:03Z
000366983,uw:8826,"Geological Museum, University of Wyoming",uw,,8826,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-08T06:37:15Z,2021-06-08T06:37:15Z
000366972,uw:8820,"Geological Museum, University of Wyoming",uw,,8820,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-08T06:16:37Z,2021-06-08T06:16:37Z
000366959,uw:7320,"Geological Museum, University of Wyoming",uw,,7320,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-08T05:23:44Z,2021-06-08T05:23:44Z
000366952,uw:7218,"Geological Museum, University of Wyoming",uw,,7218,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-08T05:04:26Z,2021-06-08T05:04:26Z
000366940,uw:7209,"Geological Museum, University of Wyoming",uw,,7209,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-08T03:55:15Z,2021-06-08T03:55:16Z
000366919,uw:7194,"Geological Museum, University of Wyoming",uw,,7194,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-07T22:12:14Z,2021-06-07T22:12:14Z
000366875,uw:7174,"Geological Museum, University of Wyoming",uw,,7174,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-06T23:43:43Z,2021-06-06T23:43:43Z
000366868,uw:7112,"Geological Museum, University of Wyoming",uw,,7112,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-06T18:48:41Z,2021-06-06T18:48:41Z
000366851,usnm:544879,NMNH Paleobiology Specimen Records,usnm,,544879,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-06T07:20:08Z,2021-06-06T07:20:08Z
000366844,usnm:544815,NMNH Paleobiology Specimen Records,usnm,,544815,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-06T07:07:22Z,2021-06-06T07:07:22Z
000366836,usnm:544698,NMNH Paleobiology Specimen Records,usnm,,544698,,,,Biological Specimen,Yes,Microsyops angustidens,,,2021-06-05T09:33:46Z,2021-06-05T09:33:46Z
000366824,usnm:544693,NMNH Paleobiology Specimen Records,usnm,,544693,,,,Biological Specimen,Yes,Microsyops angustidens,,,2021-06-05T09:20:37Z,2021-06-05T09:20:37Z
000366782,usnm:540246,NMNH Paleobiology Specimen Records,usnm,,540246,,,,Biological Specimen,Yes,Microsyops angustidens,,,2021-06-05T07:21:30Z,2021-06-05T07:21:30Z
000366775,usnm:540206,NMNH Paleobiology Specimen Records,usnm,,540206,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-05T07:13:24Z,2021-06-05T07:13:24Z
000366763,usnm:537898,NMNH Paleobiology Specimen Records,usnm,,537898,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-05T06:59:59Z,2021-06-05T07:00:00Z
000366601,usnm:533686,NMNH Paleobiology Specimen Records,usnm,,533686,,,,Biological Specimen,Yes,Arctodontomys nuptus,,,2021-06-04T08:36:29Z,2021-06-04T08:36:29Z
000366589,usnm:533678,NMNH Paleobiology Specimen Records,usnm,,533678,,,,Biological Specimen,Yes,Arctodontomys nuptus,,,2021-06-04T08:14:21Z,2021-06-04T08:14:21Z
000366582,usnm:533672,NMNH Paleobiology Specimen Records,usnm,,533672,,,,Biological Specimen,Yes,Arctodontomys nuptus,,,2021-06-04T07:59:51Z,2021-06-04T07:59:51Z
000366575,usnm:533657,NMNH Paleobiology Specimen Records,usnm,,533657,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-04T07:42:32Z,2021-06-04T07:42:32Z
000366558,usnm:521438,NMNH Paleobiology Specimen Records,usnm,,521438,,,,Biological Specimen,Yes,Arctodontomys nuptus,,,2021-06-04T06:34:31Z,2021-06-04T06:34:31Z
000366545,usnm:493853,NMNH Paleobiology Specimen Records,usnm,,493853,,,,Biological Specimen,Yes,Microsyops angustidens,,,2021-06-04T04:49:52Z,2021-06-04T04:49:52Z
000366533,usnm:488336,NMNH Paleobiology Specimen Records,usnm,,488336,,,,Biological Specimen,Yes,Arctodontomys nuptus,,,2021-06-04T03:40:58Z,2021-06-04T03:40:58Z
000366305,usgs:12989,United States Geological Survey,usgs,,12989,,,,Biological Specimen,Yes,Microsyops angustidens,,,2021-06-03T08:52:29Z,2021-06-03T08:52:29Z
000366298,usgs:10447,United States Geological Survey,usgs,,10447,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-03T08:40:19Z,2021-06-03T08:40:19Z
000366291,usgs:9770,United States Geological Survey,usgs,,9770,,,,Biological Specimen,Yes,Arctodontomys wilsoni,,,2021-06-03T08:33:48Z,2021-06-03T08:33:48Z
