,TAXA,GENUS,SPECIES,LOCOMOTION,LOCOMOTION2,SUBSTRATE,GRP
Alouatta-seniculus-AMNH-188005-humerus,Alouatta seniculus,Alouatta,seniculus,quadruped,,arboreal,New World Monkeys
Alouatta-seniculus-AMNH-188009-humerus,Alouatta seniculus,Alouatta,seniculus,quadruped,,arboreal,New World Monkeys
Alouatta-seniculus-AMNH-188010-humerus,Alouatta seniculus,Alouatta,seniculus,quadruped,,arboreal,New World Monkeys
Alouatta-seniculus-AMNH-200550-humerus,Alouatta seniculus,Alouatta,seniculus,quadruped,,arboreal,New World Monkeys
Alouatta-seniculus-AMNH-200554-humerus,Alouatta seniculus,Alouatta,seniculus,quadruped,,arboreal,New World Monkeys
Ateles-belzebuth-AMNH-188132-humerus,Ateles belzebuth,Ateles,belzebuth,suspension,,arboreal,New World Monkeys
Ateles-fusciceps-AMNH-188141-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys
Ateles-fusciceps-USNM-338111-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys
Ateles-fusciceps-USNM-338112-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys
Ateles-fusciceps-USNM-338113-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys
Ateles-fusciceps-USNM-338114-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys
Ateles-fusciceps-USNM-338115-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys
Ateles-fusciceps-USNM-338116-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys
Ateles-geoffroyi-USNM-244863-humerus,Ateles geoffroyi,Ateles,geoffroyi,suspension,,arboreal,New World Monkeys
Ateles-geoffroyi-USNM-276631-humerus,Ateles geoffroyi,Ateles,geoffroyi,suspension,,arboreal,New World Monkeys
Ateles-geoffroyi-USNM-276657-humerus,Ateles geoffroyi,Ateles,geoffroyi,suspension,,arboreal,New World Monkeys
Ateles-paniscus-USNM-338954-humerus,Ateles paniscus,Ateles,paniscus,suspension,,arboreal,New World Monkeys
Ateles-paniscus-USNM-338955-humerus,Ateles paniscus,Ateles,paniscus,suspension,,arboreal,New World Monkeys
Ateles-paniscus-USNM-361027-humerus,Ateles paniscus,Ateles,paniscus,suspension,,arboreal,New World Monkeys
Callithrix-jacchus-USNM-399034-humerus,Callithrix jacchus,Callithrix,jacchus,vertical cling,,arboreal,New World Monkey
