,X,TAXA,GENUS,SPECIES,LOCOMOTION,LOCOMOTION2,SUBSTRATE,GRP,LOCSUB,,SEX,MATURITY,MASS (KG)
1,Alouatta-seniculus-AMNH-188005-humerus,Alouatta seniculus,Alouatta,seniculus,quadruped,,arboreal,New World Monkeys,arboreal quadruped,,Female,,5.21
2,Alouatta-seniculus-AMNH-188009-humerus,Alouatta seniculus,Alouatta,seniculus,quadruped,,arboreal,New World Monkeys,arboreal quadruped,,Male,,6.69
3,Alouatta-seniculus-AMNH-188010-humerus,Alouatta seniculus,Alouatta,seniculus,quadruped,,arboreal,New World Monkeys,arboreal quadruped,,Female,,5.21
4,Alouatta-seniculus-AMNH-200550-humerus,Alouatta seniculus,Alouatta,seniculus,quadruped,,arboreal,New World Monkeys,arboreal quadruped,,Female,,5.21
5,Alouatta-seniculus-AMNH-200554-humerus,Alouatta seniculus,Alouatta,seniculus,quadruped,,arboreal,New World Monkeys,arboreal quadruped,,,,5.95
6,Ateles-belzebuth-AMNH-188132-humerus,Ateles belzebuth,Ateles,belzebuth,suspension,,arboreal,New World Monkeys,arboreal suspension,,Male,,8.29
7,Ateles-fusciceps-AMNH-188141-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys,arboreal suspension,,Male,,8.89
8,Ateles-fusciceps-USNM-338111-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys,arboreal suspension,,Male,,8.89
9,Ateles-fusciceps-USNM-338112-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys,arboreal suspension,,Male,,8.89
10,Ateles-fusciceps-USNM-338113-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys,arboreal suspension,,Female,,9.16
11,Ateles-fusciceps-USNM-338114-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys,arboreal suspension,,Female,,9.16
12,Ateles-fusciceps-USNM-338115-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys,arboreal suspension,,Male,,8.89
13,Ateles-fusciceps-USNM-338116-humerus,Ateles fusciceps,Ateles,fusciceps,suspension,,arboreal,New World Monkeys,arboreal suspension,,Female,,9.16
14,Ateles-geoffroyi-USNM-244863-humerus,Ateles geoffroyi,Ateles,geoffroyi,suspension,,arboreal,New World Monkeys,arboreal suspension,,Female,,7.29
15,Ateles-geoffroyi-USNM-276631-humerus,Ateles geoffroyi,Ateles,geoffroyi,suspension,,arboreal,New World Monkeys,arboreal suspension,,Female,,7.29
16,Ateles-geoffroyi-USNM-276657-humerus,Ateles geoffroyi,Ateles,geoffroyi,suspension,,arboreal,New World Monkeys,arboreal suspension,,Female,,7.29
17,Ateles-paniscus-USNM-338954-humerus,Ateles paniscus,Ateles,paniscus,suspension,,arboreal,New World Monkeys,arboreal suspension,,Female,,8.44
18,Ateles-paniscus-USNM-338955-humerus,Ateles paniscus,Ateles,paniscus,suspension,,arboreal,New World Monkeys,arboreal suspension,,Female,,8.44
19,Ateles-paniscus-USNM-361027-humerus,Ateles paniscus,Ateles,paniscus,suspension,,arboreal,New World Monkeys,arboreal suspension,,Male,,9.11
20,Callithrix-jacchus-USNM-399034-humerus,Callithrix jacchus,Callithrix,jacchus,vertical cling,,arboreal,New World Monkey,arboreal vertical cling,,Male,,0.317
21,Callithrix-jacchus-USNM-399036-humerus,Callithrix jacchus,Callithrix,jacchus,vertical cling,,arboreal,New World Monkey,arboreal vertical cling,,Female,,0.324
22,Callithrix-jacchus-USNM-3990370-humerus,Callithrix jacchus,Callithrix,jacchus,vertical cling,,arboreal,New World Monkey,arboreal vertical cling,,Male,,0.317
23,Cebus-albifrons-AMNH-188020-humerus,Cebus albifrons,Cebus,albifrons,quadruped,,terrestrial,New World Monkeys,terrestrial quadruped,,Male,,3.18
24,Cebus-albifrons-AMNH-211567-humerus,Cebus albifrons,Cebus,albifrons,quadruped,,terrestrial,New World Monkeys,terrestrial quadruped,,Male,,3.18
25,Cebus-albifrons-AMNH-211569-humerus,Cebus albifrons,Cebus,albifrons,quadruped,,terrestrial,New World Monkeys,terrestrial quadruped,,Male,,3.18
26,Cebus-albifrons-AMNH-211587-humerus,Cebus albifrons,Cebus,albifrons,quadruped,,terrestrial,New World Monkeys,terrestrial quadruped,,Male,,3.18
27,Cebus-albifrons-AMNH-211590-humerus,Cebus albifrons,Cebus,albifrons,quadruped,,terrestrial,New World Monkeys,terrestrial quadruped,,Male,,3.18
28,Cebus-capacinus-USNM-338117-humerus,Cebus capacinus,Cebus,capacinus,quadruped,,arboreal,New World Monkeys,arboreal quadruped,,Male,,3.68
29,Cercepithecus-ascanius-AMNH-52532-humerus,Cercepithecus ascanius,Cercepithecus,ascanius,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,3.7
30,Cercepithecus-ascanius-AMNH-52554-humerus,Cercepithecus ascanius,Cercepithecus,ascanius,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,3.7
31,Cercepithecus-ascanius-AMNH-52563-humerus,Cercepithecus ascanius,Cercepithecus,ascanius,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,3.7
32,Cercepithecus-ascanius-AMNH-55068-humerus,Cercepithecus ascanius,Cercepithecus,ascanius,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Female,,2.92
33,Chlorocebus-pygerythrus-AMNH-169428-humerus,Chlorocebus pygerythrus,Chlorocebus,pygerythrus,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,2.98
34,Chlorocebus-pygerythrus-AMNH-169430-humerus,Chlorocebus pygerythrus,Chlorocebus,pygerythrus,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Male,,4.26
35,Chlorocebus-pygerythrus-AMNH-216253-humerus,Chlorocebus pygerythrus,Chlorocebus,pygerythrus,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,2.98
36,Chlorocebus-pygerythrus-AMNH-219254-humerus,Chlorocebus pygerythrus,Chlorocebus,pygerythrus,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Male,,4.26
37,Chlorocebus-pygerythrus-AMNH-34716-humerus,Chlorocebus pygerythrus,Chlorocebus,pygerythrus,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,2.98
38,Colobus-guereza-AMNH-27711-humerus,Colobus guereza,Colobus,guereza,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,13.5
39,Colobus-guereza-AMNH-52206-humerus,Colobus guereza,Colobus,guereza,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,13.5
40,Colobus-guereza-AMNH-52229-humerus,Colobus guereza,Colobus,guereza,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,13.5
41,Colobus-guereza-AMNH-52248-humerus,Colobus guereza,Colobus,guereza,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,13.5
42,Galagoides-demidovii-AMNH-50984-humerus,Galagoides demidoff,Galagoides,demidoff,quadruped,leaper,arboreal,Lemur,arboreal quadruped,,Female,,0.06
43,Galagoides-demidovii-DLC-3022m-humerus,Galagoides demidoff,Galagoides,demidoff,quadruped,leaper,arboreal,Lemur,arboreal quadruped,,,,0.06
44,Gorilla-gorilla-PRICT-1352-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,170.4
45,Gorilla-gorilla-PRICT-1491-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,170.4
46,Gorilla-gorilla-PRICT-2764-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,170.4
47,Gorilla-gorilla-PRICT-2779-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,170.4
48,Gorilla-gorilla-PRICT-2871-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Female,,71.5
49,Gorilla-gorilla-PRICT-316-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,176
50,Gorilla-gorilla-YPM-014998-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,,,71.5
51,Hylobates-hoolock-AMNH-201742-humerus,Hylobates hoolock,Hylobates,hoolock,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,6.87
52,Hylobates-hoolock-AMNH-201743-humerus,Hylobates hoolock,Hylobates,hoolock,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,6.88
53,Hylobates-klossii-AMNH-103344-humerus,Hylobates klossii,Hylobates,klossii,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,5.67
